pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,mean_height_m
9,159,Farrukhabad,2016,2.8908640104550016e8,1.9020666300406724e8,0.6579578365366625
9,159,Farrukhabad,2017,2.9372178091410077e8,1.9277337543786916e8,0.6563128373998451
9,159,Farrukhabad,2018,3.0556569590973496e8,2.244664289368491e8,0.7345930251383884
9,159,Farrukhabad,2019,3.184798732875651e8,2.33632852134476e8,0.7335874940000426
9,159,Farrukhabad,2020,3.310600877723499e8,2.2820934656642607e8,0.6893290825300328
9,159,Farrukhabad,2021,3.372405914672143e8,2.4979532073903498e8,0.7407036016994991
9,159,Farrukhabad,2022,3.401865763003179e8,2.1095903640026143e8,0.6201274568048389
9,159,Farrukhabad,2023,3.486103119520642e8,2.169944858739035e8,0.6224557290311636
9,160,Kannauj,2016,2.9377811171051234e8,1.8455583877472088e8,0.6282150759978381
9,160,Kannauj,2017,3.021816338611137e8,1.882725207455705e8,0.6230442212517218
9,160,Kannauj,2018,3.1271757614065945e8,2.2040677706488627e8,0.7048109664477188
9,160,Kannauj,2019,3.2369344597151494e8,2.246465625123431e8,0.6940102288388997
9,160,Kannauj,2020,3.446934549248162e8,2.152780474188666e8,0.6245492751402042
9,160,Kannauj,2021,3.516761122059666e8,2.4243782598360518e8,0.6893781453134818
9,160,Kannauj,2022,3.4474738074005437e8,1.923811903998885e8,0.5580352488448558
9,160,Kannauj,2023,3.592635945649357e8,2.091898273887127e8,0.5822739363336809
9,161,Etawah,2016,2.983319219896637e8,1.9659808838376826e8,0.6589911232850898
9,161,Etawah,2017,3.1053141024900043e8,1.9931879702670756e8,0.6418635617790911
9,161,Etawah,2018,3.177680354683096e8,2.2651478369959128e8,0.7128306135819038
9,161,Etawah,2019,3.2711109268575746e8,2.4892212133287883e8,0.7609712018296131
9,161,Etawah,2020,3.383171302432292e8,2.3446143938495073e8,0.6930226654984551
9,161,Etawah,2021,3.4575298592521447e8,2.6821985845388606e8,0.7757557255395658
9,161,Etawah,2022,3.4234517118004364e8,2.1310192821313968e8,0.622476804561285
9,161,Etawah,2023,3.5722925272720975e8,2.1683956050741357e8,0.607003930534766
9,162,Auraiya,2016,2.565604029927313e8,1.8216458236904344e8,0.7100261000689354
9,162,Auraiya,2017,2.6860325425637263e8,1.689404553742957e8,0.6289590788540775
9,162,Auraiya,2018,2.722731010156863e8,1.970237873105036e8,0.7236256044960997
9,162,Auraiya,2019,2.7948598266359144e8,2.1534957637638187e8,0.7705201324375235
9,162,Auraiya,2020,2.943748030358609e8,2.0535161075947532e8,0.6975855563781364
9,162,Auraiya,2021,3.030608276139897e8,2.2394830790597492e8,0.7389549803223634
9,162,Auraiya,2022,2.93920487286669e8,1.739909735039257e8,0.5919661303984821
9,162,Auraiya,2023,3.0968215258826977e8,1.8404367462436754e8,0.5942986158103152
9,163,Kanpur Dehat,2016,3.6097477455924845e8,2.4041929066855228e8,0.6660279543414221
9,163,Kanpur Dehat,2017,3.804973408299555e8,2.3829022111781758e8,0.6262598855436144
9,163,Kanpur Dehat,2018,3.849134288600183e8,2.6654222797239962e8,0.6924731848452427
9,163,Kanpur Dehat,2019,3.9710725260942096e8,2.830826929678248e8,0.7128620570580558
9,163,Kanpur Dehat,2020,4.1529938021287155e8,2.8339861652797455e8,0.6823959534510065
9,163,Kanpur Dehat,2021,4.3100912064884347e8,2.996491814476889e8,0.6952270081816259
9,163,Kanpur Dehat,2022,4.1612866406426555e8,2.405158449207677e8,0.5779843247799513
9,163,Kanpur Dehat,2023,4.376726449824564e8,2.3466133388421217e8,0.5361571863684063
9,164,Kanpur Nagar,2016,5.209404694717218e8,6.166844345382651e8,1.1837906069452346
9,164,Kanpur Nagar,2017,5.3178051565508956e8,6.448390378325166e8,1.212603731895202
9,164,Kanpur Nagar,2018,5.378297511720244e8,6.85219219806115e8,1.274044840979703
9,164,Kanpur Nagar,2019,5.667369919621171e8,7.25165875394647e8,1.279545689939929
9,164,Kanpur Nagar,2020,5.828660601100568e8,7.512612728580226e8,1.2889089351268272
